Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Is Hourly,Have Employer Provided,Min Salary,Max Salary,Avg Salary,Company,State,Age of Company,python_ind,excel_ind,rstudio_ind,aws_ind,spark_ind,sql_ind,Requirements
Data Scientist,Employer Provided Salary:$110K,"We are looking for a Data Scientist to help build a next generation shipping logistics suite. Our cloud-based SaaS platform automates the management of a carrier’s freight from origin to destination efficiently, reliably, and cost effectively. Our platform also helps carriers with broader logistics challenges related to invoicing, EDI, damage claims, vendor management, driver payroll, and equipment inventory management. We are looking for someone who is creative, technical, and fun to work with.
Find out more about us at: https://magnustech.com/
Responsibilities
Drive projects, individually or collaboratively, through the data science lifecycle including data collection, exploration/analysis, model development, validation, deployment, and production maintenance.",0.0,Magnus Technology Group,Remote,Unknown,0,Unknown,Unknown,Unknown,Unknown / Non-Applicable,0,1,110,110,110.0,Magnus Technology Group,Remote,Unknown,0,0,0,0,0,0,No requirement specified
Data Scientist,Employer Provided Salary:$110K - $140K,"OnlineMedEd’s purpose is to change how education is approached, delivered, and learned. We leverage education, technology, and research together to drive it all forward. Our philosophy is simple: medical knowledge belongs to no one, so medical education should be accessible to everyone. So we made a quality baseline education available to the world, for free. Today, we are one of the most widely used medical education platforms globally, playing a key role in creating the next generation of health care professionals. Equipped with enhanced knowledge, reasoning skills, and empathy, this generation of doctors is improving the lives of millions of patients.
We are looking for a full-time Data Scientist to be responsible for shaping, executing, and improving the way we design, implement, and analyze A/B tests at OnlineMedEd. The Data Scientist will also deep-dive our data to provide insights and help stakeholders to make more data-informed decisions.
Why You'll Love Working with Us",4.5,"OnlineMedEd
4.5",Remote,51 to 200 Employees,2014,Company - Private,Colleges & Universities,Education,Unknown / Non-Applicable,0,1,110,140,125.0,"OnlineMedEd
",Remote,7,0,0,0,0,0,0,No requirement specified
Data Scientist,Employer Provided Salary:$176K,"Overview:
TekWissen Group is a workforce management provider throughout the USA and many other countries in the world. The below job opportunity is to one of Our Client it is an American company deals with manufacturing automotive seating and automotive electrical systems.
Description
The Client is looking for an experienced Data Scientist, or Data Science professional that will be responsible for overseeing the collection, storage, and interpretation of data for an industry 4.0 project team. As a candidate you will be able to sift through data points to create organized categories, comparing data points to current company processes and writing reports outlining business predictions or proposals. The ideal candidate will be skilled in data science principles and has worked within a multi-function business environment, including IT and manufacturing. Experience in providing detailed direction, meeting aggressive deadlines and being an excellent communicator are a must.",0.0,TekwissenGroup,"Southfield, MI",Unknown,0,Unknown,Unknown,Unknown,Unknown / Non-Applicable,0,1,176,176,176.0,TekwissenGroup,MI,Unknown,0,1,0,0,0,0,Excel
Data Scientist,Employer Provided Salary:$80K - $120K,"Essential Functions & Responsibilities:
Extract data from internal and external databases.
Analyze exploratory data; clean, transform, and aggregate datasets.
Build tools to automate data collection.
Assist with various data analysis and modeling projects.
Understands business initiatives and is a primary analytics resource for business partners.
Develop, maintain and improve holistic datasets, reports, and dashboards to monitor company performance.
Determine analytical approaches to solve business objectives, using machine learning when applicable.",4.5,"Growers Edge Financial, Inc.
4.5","Johnston, IA",1 to 50 Employees,0,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,0,1,80,120,100.0,"Growers Edge Financial, Inc.
",IA,Unknown,0,0,0,0,0,0,No requirement specified
Data Scientist,$76K - $126K (Glassdoor est.),"At John Deere, we run so life can leap forward. This powerful purpose is our promise to humankind that we will dream, design and deliver breakthrough products that sustain our world for generations to come. The world is counting on us to feed billions of people and build vital infrastructures in villages, towns, and megacities. We live up to the legacy our founder forged in a one-room blacksmith's shop nearly two centuries ago by creating a culture that brings out the best in all of us. A culture where great ideas thrive because every voice is heard.

Primary Location: United States (US) - Iowa - Johnston
Function: Data Science & Analytics
Title: Data Scientist - 76523",4.0,"John Deere
4.0","Johnston, IA",10000+ Employees,1837,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),0,0,76,126 ,101.0,"John Deere
",IA,184,0,0,0,0,0,0,No requirement specified
Data Scientist,Employer Provided Salary:$95K - $125K,"Rocket Travel is looking for a Data Scientist with experience in Python and SQL to join our growing Data Science Team. Remote employment is an option for this role
The Data Science Team oversees building internal-facing decision making tools and product-facing production models that aid in scaling our growing business.
Rocket Travel is a place where you:
Work with a group of intrinsically motivated people with a track record for building successful new businesses from scratch.
Embody curiosity, community, and accountability. We live and build products by these values every day.
Own decisions and take action that can be implemented in a matter of days (or hours).",4.5,"Rocket Travel, Inc.
4.5",New York State,51 to 200 Employees,2012,Company - Public,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,0,1,95,125,110.0,"Rocket Travel, Inc.
",Unknown,9,1,0,0,0,0,1,"Python, SQL"
Data Scientist,Employer Provided Salary:$165K - $175K,"Data Scientist
Responsibilities
Lead and mentor a team of 2-3 Data Scientists
Engage with PMs, designers, CRM managers to identify analysis requirements
Provide an analytics perspective to discussions and prioritization within your team, so that the overall team selects the right ideas to work on.
Develop a deep understanding of available data to drive ad-hoc analysis and answer questions
Establish a technical vision within the data science team and work to turn it into reality. You will remain hands-on with day-to-day work.",0.0,Highland Principals,Remote,Unknown,0,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,0,1,165,175,170.0,Highland Principals,Remote,Unknown,0,0,0,0,0,0,No requirement specified
Data Scientist,Employer Provided Salary:$31 - $79 Per Hour,"Job Description
You’ll be able to leverage large-scale rich data to meaningfully improve and refine our identification of malicious computer software and behavioral threats. If you’re ready to work with subject matter experts in the industry in a collaborative environment with unrivaled technology, apply today.
Responsibilitities:
*
Mine large scale and high dimensional data, identify patterns and visualize trends
Create predictive models using supervised learning techniques to detect and stop the most sophisticated threats",4.1,"workcog
4.1",Remote,51 to 200 Employees,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,1,1,31,79 ,55.0,"workcog
",Remote,4,0,0,0,0,0,0,No requirement specified
Senior Data Scientist - Nationwide Opportunities,Employer Provided Salary:$116K,"Bachelor’s degree in a highly quantitative field (Computer Science, Machine Learning, Operational Research, Statistics, Mathematics, etc.) or equivalent professional or military experience
Experience with ML fields, e.g., natural language processing, computer vision, statistical learning theory
6+ years of industry experience in predictive modeling, data science, and analysis
Experience in an ML engineer or data scientist role building and deploying ML models or hands on experience developing deep learning models
Experience writing code in Python, R, Scala, Java, C++ with documentation for reproducibility
Experience handling terabyte size datasets, diving into data to discover hidden patterns, using data visualization tools, writing SQL, and working with GPUs to develop models
Want to help the largest global enterprises derive business value through the adoption of Artificial Intelligence (AI) and Machine Learning (ML)? Excited by using massive amounts of disparate data to develop ML models? Eager to learn to apply ML to a diverse array of enterprise use cases? Thrilled to be a part of Amazon who has been pioneering and shaping the world’s AI/ML technology for decades?

At Amazon Web Services (AWS), we are helping large enterprises build ML models on the AWS Cloud. We are applying predictive technology to large volumes of data and against a wide spectrum of problems. AWS Professional Services works together with AWS customers to address their business needs using AI solutions.

AWS Professional Services is a unique consulting team. We pride ourselves on being customer obsessed and highly focused on the AI enablement of our customers. If you have experience with AI, including building ML models, we’d like to have you join our team. You will get to work with an innovative company, with great teammates, and have a lot of fun helping our customers. A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions.

Inclusive Team Culture
Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have thirteen employee-led affinity groups, reaching 85,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance
Our team puts a high value on work-life harmony. Striking a healthy balance between your personal and professional life is crucial to your happiness and success here. We are a customer-obsessed organization—leaders start with the customer and work backwards. They work vigorously to earn and keep customer trust. As such, this is a customer facing role in a hybrid delivery model. Project engagements include remote delivery methods and onsite engagement that will include travel to customer locations as needed.

Mentorship & Career Growth
Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.

This is a customer-facing role and you will be required to travel to client locations and deliver professional services as needed.


Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

For employees based in Colorado, this position starts at $116,200 per year. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered.",3.7,"Amazon Web Services, Inc.
3.7",Vermont,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),0,1,116,116,116.0,"Amazon Web Services, Inc.
",Unknown,27,1,0,0,1,0,1,"Python, AWS, SQL"
data scientist -Remote,$81K - $168K (Glassdoor est.),"Job Posting
: Dec 9, 2021
Job Posting End Date
: Jan 8, 2022
Location
: US-WA-Seattle-Starbucks Support Center
Starbucks - Business Strategy",3.8,"Starbucks
3.8","Seattle, WA",10000+ Employees,1971,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD),0,0,81,168 ,124.5,"Starbucks
",WA,50,0,0,0,0,0,0,No requirement specified
Data Scientist -- Full-time,Employer Provided Salary:$150K,"Data Scientist -- Full-time, entry level
About Us
Denali System, a fast-growing start-up located in Silicon Valley, is committed to becoming the leading AIoT solution provider. We are dedicated to helping users break the barriers between technology, business, and data. Our goal is to help clients to discover the commercial value in the data.
Denali has built a series of industry solutions based on our platform in finance, transportation, security, public service, etc., and has reached in-depth cooperation with many enterprises, including one of the fortune 500 insurance companies. We are looking for a passionate Data Scientist to join our team and build an influential startup company with us!",3.0,"Denali System Co., Ltd
3.0","Mountain View, CA",1 to 50 Employees,0,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,0,1,150,150,150.0,"Denali System Co., Ltd
",CA,Unknown,0,0,0,0,0,0,No requirement specified
Experienced Data Scientist,Employer Provided Salary:$122K - $180K,"At Liberty Mutual, our purpose is to help people embrace today and confidently pursue tomorrow. That's why we provide an environment focused on openness, inclusion, trust and respect. Here, you'll discover our expansive range of roles, and a workplace where we aim to help turn your passion into a rewarding profession.
Liberty Mutual has proudly been recognized as a “Great Place to Work” by Great Place to Work® US for the past several years. We were also selected as one of the “100 Best Places to Work in IT” on IDG's Insider Pro and Computerworld's 2020 list. For many years running, we have been named by Forbes as one of America's Best Employers for Women and one of America's Best Employers for New Graduates—as well as one of America's Best Employers for Diversity. To learn more about our commitment to diversity and inclusion please visit: https://jobs.libertymutualgroup.com/diversity-inclusion
We value your hard work, integrity and commitment to make things better, and we put people first by offering you benefits that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits

17",3.8,"Liberty Mutual Insurance
3.8",Remote,10000+ Employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),0,1,122,180,151.0,"Liberty Mutual Insurance
",Remote,109,0,0,0,0,0,0,No requirement specified
Data Scientist,$69K - $121K (Glassdoor est.),"Overview
Trissential is a trusted partner for end-to-end quality services and management consulting. As a part of our parent company Expleo, we have a footprint in 30+ countries. Our Mission is to have a positive impact on every person who interacts with Trissential. Clients love us because we are service focused. Employees love us because they are valued and cared for.
Come join a team where benefits start the first day of employment and compensation plans are designed to meet a flexible life style. We are looking for a seasoned Data Scientist to join a strategic engagement building a dynamic and forward thinking data analytics capability for our global client in Michigan.
Responsibilities
The Data Scientist who will support our engineering and automotive teams with models, algorithms and insights gained from analyzing data.",3.8,"Trissential
3.8","Michigan, ND",201 to 500 Employees,2003,Subsidiary or Business Segment,Consulting,Business Services,$25 to $50 million (USD),0,0,69,121 ,95.0,"Trissential
",ND,18,0,0,0,0,0,0,No requirement specified
Data Scientist,Employer Provided Salary:$78K - $181K,"Role: Data Scientist
Type: Contract
Location: Pearl River, NY
Required skills:
4-6 years of commercial hands-on experience as a Data Scientist solving high impact functional problems
Extensive experience with Python & software engineering fundamentals
Experience with applied statistics and quantitative modelling (e.g. regression, classification, experimentation, and machine or deep learning)
Experience with computer vision and NLP for extraction of information from structured (forms, invoices, statements, etc.) and unstructured (emails, etc.) content
Extensive experience of launching productionized machine learning models at scale",0.0,FLYGEND,"Pearl River, NY",Unknown,0,Unknown,Unknown,Unknown,Unknown / Non-Applicable,0,1,78,181,129.5,FLYGEND,NY,Unknown,1,0,0,0,0,0,Python
Data Scientist,$74K - $129K (Glassdoor est.),"About us:
Agero is powering the next generation of software-enabled driver safety services and technology, pushing the limits of big data to transform the entire driving experience. The majority of leading vehicle manufacturers and insurance providers use Agero's roadside assistance, accident management, dispatch, consumer affairs and telematics innovations to strengthen their businesses and create stronger, lasting connections with their customers. Together, we're making driving smarter and safer for everyone.
The Data Science and Analytics (DS&A) group at Agero is a central resource for innovative data products, scientific analysis, and actionable insights. We are a collaborative, consultative team that works cross functionally to:
support partners throughout the organization in making informed, data driven decisions,",3.1,"Agero
3.1","Medford, MA",1001 to 5000 Employees,1972,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),0,0,74,129 ,101.5,"Agero
",MA,49,0,0,0,0,0,0,No requirement specified
Data Scientist,Employer Provided Salary:$100K,":::Please refer to submission instructions at the bottom of the job description:::
__
**
About the organization:
The Patrick J. McGovern Foundation is a private foundation dedicated to advancing artificial intelligence and data science solutions to create a thriving, equitable, and sustainable future for all. PJMF works in partnership with academic institutions, non-profits, start-ups, and incubators in neuroscience, digital health, climate change, vulnerable populations and digital dignity, and has dedicated funding in the last year to address the COVID-19 pandemic. For more information, please visit our website at https://www.mcgovern.org/.
Core to PJMF’s mission are inclusion, diversity, equity, and access. We apply the IDEA framework to all we do, from growing a diverse team within the Foundation, to coalition building with organizations and people around the world, to promoting trust-based philanthropic relationships, and democratizing the development and rewards of AI and data.

The Data Scientist must be someone who deeply cares about data for good and loves technology as it will be your mission to help create digital solutions with non-profit grant partners that drive social impact around the world. A visionary, entrepreneurial, and innovative team contributor, you will add geospatial data science and general ML/AI expertise to the Direct Data & AI Services team as we provide support and capacity building to the Data & Society grant partners, responding to the expressed need of our partners to strengthen and inform their advanced data analysis and ML models. As the Data Scientist, you will also contribute to the design and implementation of solutions with PJMF grant partners working with location based data, such as satellite imagery and remote sensing data. The position will report directly to the Director of Direct Data & AI Services.",0.0,Patrick J McGovern Foundation,Remote,Unknown,0,Unknown,Unknown,Unknown,Unknown / Non-Applicable,0,1,100,100,100.0,Patrick J McGovern Foundation,Remote,Unknown,0,0,0,0,0,0,No requirement specified
Data Scientist,Employer Provided Salary:$90K - $120K,"Are you one of the best Data Scientists out there looking to master yet another role in the tech space?

If so, I have the perfect opportunity for you!

This role is a full-time direct hire position within the wine spirits industry. You will be placed with a company that is dedicated to diversity in data; at all levels of the organization.

This would be a great opportunity for someone like you or anyone looking to join a team and make a major impact.

Your day to day will look a little something like this.

Applying standard methods and algorithms, validates results and performs necessary data preparation steps.

Creating and maintaining of analysis conducted in R environment

Developing Tableau dashboards (requiring experience in SQL coding).

Developing and executing project and process plans, implements policies and procedures and sets operational goals

And of course, being a taste tester for our signature wines and spirits (for research purposes of course)


Minimum 2 year of experience in Data analytics

Experience using or applying statistical and mathematical concepts to measure performance against projects to ensure a high quality delivery

R Programming language experience

SQL coding experience

Demand forecasting and/or data simulation experience",0.0,Inclusive Links,Remote,Unknown,0,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,0,1,90,120,105.0,Inclusive Links,Remote,Unknown,0,0,0,0,0,1,SQL
Data Scientist,$50 - $55 Per Hour(Employer est.),"4-6 years of commercial hands-on experience as a Data Scientist solving high impact functional problems
Extensive experience with Python & software engineering fundamentals
Experience with applied statistics and quantitative modelling (e.g. regression, classification, experimentation, and machine or deep learning)
Experience with computer vision and NLP for extraction of information from structured (forms, invoices, statements, etc.) and unstructured (emails, etc.) content
Extensive experience of launching productionized machine learning models at scale
Preferred Skills:
Domain experience in insurance",3.9,"Amiga Informatics
3.9","Pearl River, NY",501 to 1000 Employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,1,0,50,55 ,52.5,"Amiga Informatics
",NY,10,1,0,0,0,0,0,Python
Data Scientist,$50 - $55 Per Hour(Employer est.),"Opportunity
Our Fortune 500 client is seeking a Data Scientist (PhD desired) to join their headquarters? team in Detroit, MI.
Why Work Here
Recognized as a Gallup Great Workplace, receiving this award a remarkable four years in a row
Recognized for excellence in recruiting veterans and hiring/training people with disabilities
Works hard to maintain an open and inclusive culture among their 10,000 employees
Supports education, employment, environmental leadership, neighborhood revitalization, arts, and culture",5.0,"Cybertech Inc
5.0","Detroit, MI",1 to 50 Employees,0,Company - Private,Unknown,Unknown,$1 to $5 million (USD),1,0,50,55 ,52.5,"Cybertech Inc
",MI,Unknown,0,1,0,0,0,0,Excel
